"OPAMP3_COMP3", "28.58", "140.72", "90.00", "LM4562MAX/NOPB", "SOIC127P599X175-8N"
"OPAMP3_COMP5", "83.19", "143.26", "90.00", "LM4562MAX/NOPB", "SOIC127P599X175-8N"
"OPAMP4_COMP1", "-3.18", "130.94", "270.00", "LM4562MAX/NOPB", "SOIC127P599X175-8N"
"OPAMP4_COMP2", "47.63", "132.21", "270.00", "LM4562MAX/NOPB", "SOIC127P599X175-8N"
"OPAMP4_COMP3", "20.96", "132.21", "270.00", "LM4562MAX/NOPB", "SOIC127P599X175-8N"
"OPAMP4_COMP5", "75.56", "134.75", "270.00", "LM4562MAX/NOPB", "SOIC127P599X175-8N"
"OUTL_MIX1", "45.47", "51.05", "270.00", "", "SMD2,54-5,08"
"OUTR_MIX1", "39.37", "51.05", "270.00", "", "SMD2,54-5,08"
"PAD1", "33.02", "68.58", "0.00", "", "SMD1,27-2,54"
"PAD10", "-7.62", "104.14", "0.00", "", "SMD1,27-2,54"
"PAD11", "74.93", "99.06", "0.00", "", "SMD1,27-2,54"
"PAD12", "43.18", "105.41", "0.00", "", "SMD1,27-2,54"
"PAD13", "44.45", "96.52", "0.00", "", "SMD1,27-2,54"
"PAD14", "80.01", "90.17", "0.00", "", "SMD1,27-2,54"
"PAD15", "-15.24", "95.25", "0.00", "", "SMD1,27-2,54"
"PAD16", "17.78", "90.17", "0.00", "", "SMD1,27-2,54"
"PAD2", "29.21", "78.74", "0.00", "", "SMD1,27-2,54"
"PAD3", "25.40", "57.15", "0.00", "", "SMD1,27-2,54"
"PAD4", "-12.70", "80.01", "0.00", "", "SMD1,27-2,54"
"PAD5", "-15.24", "91.44", "0.00", "", "SMD1,27-2,54"
"PAD6", "31.75", "81.28", "0.00", "", "SMD1,27-2,54"
"PAD7", "62.23", "59.69", "0.00", "", "SMD1,27-2,54"
"PAD8", "53.34", "67.31", "0.00", "", "SMD1,27-2,54"
"PAD9", "12.70", "92.71", "0.00", "", "SMD1,27-2,54"
"R10", "49.66", "98.93", "180.00", "5k", "R0402"
"R100", "55.88", "155.83", "90.00", "100k", "R0402"
"R101", "53.47", "156.21", "90.00", "10k", "R0402"
"R102", "59.31", "136.53", "270.00", "100k", "R0402"
"R103", "49.40", "136.78", "0.00", "100k", "R0402"
"R104", "44.07", "130.56", "90.00", "100k", "R0402"
"R105", "42.93", "128.27", "90.00", "10k", "R0402"
"R106", "45.09", "127.51", "0.00", "20k", "R0402"
"R107", "50.67", "139.06", "270.00", "100k", "R0402"
"R108", "51.31", "141.48", "270.00", "100k", "R0402"
"R109", "46.10", "156.21", "90.00", "100k", "R0402"
"R11", "55.75", "91.06", "90.00", "5k", "R0402"
"R110", "47.50", "156.21", "270.00", "10k", "R0402"
"R111", "45.72", "145.42", "90.00", "100k", "R0402"
"R112", "57.79", "110.74", "270.00", "100k", "R0402"
"R113", "27.05", "130.68", "0.00", "100k", "R0402"
"R114", "26.16", "154.43", "0.00", "470k", "R0402"
"R115", "28.19", "127.25", "270.00", "1k", "R0402"
"R116", "25.15", "138.30", "90.00", "470k", "R0402"
"R117", "27.94", "155.83", "270.00", "100k", "R0402"
"R118", "29.21", "155.83", "90.00", "100k", "R0402"
"R119", "26.80", "156.21", "90.00", "10k", "R0402"
"R12", "47.24", "86.36", "180.00", "10k", "R0402"
"R120", "32.64", "136.53", "270.00", "100k", "R0402"
"R121", "22.73", "136.78", "0.00", "100k", "R0402"
"R122", "17.40", "130.56", "90.00", "100k", "R0402"
"R123", "16.26", "128.27", "90.00", "10k", "R0402"
"R124", "18.41", "127.51", "0.00", "20k", "R0402"
"R125", "24.00", "139.06", "270.00", "100k", "R0402"
"R126", "24.64", "141.48", "270.00", "100k", "R0402"
"R127", "19.43", "156.21", "90.00", "100k", "R0402"
"R128", "20.83", "156.21", "270.00", "10k", "R0402"
"R129", "19.05", "145.42", "90.00", "100k", "R0402"
"R13", "57.15", "88.65", "270.00", "5k", "R0402"
"R130", "31.12", "110.74", "270.00", "100k", "R0402"
"R14", "57.53", "85.09", "180.00", "10k", "R0402"
"R149", "81.66", "133.22", "0.00", "100k", "R0402"
"R15", "90.55", "104.39", "180.00", "1M", "R0402"
"R150", "80.77", "156.97", "0.00", "470k", "R0402"
"R151", "82.80", "129.79", "270.00", "1k", "R0402"
"R152", "79.76", "140.84", "90.00", "470k", "R0402"
"R153", "82.55", "158.37", "270.00", "100k", "R0402"
"R154", "83.82", "158.37", "90.00", "100k", "R0402"
"R155", "81.41", "158.75", "90.00", "10k", "R0402"
"R156", "87.25", "139.06", "270.00", "100k", "R0402"
"R157", "77.34", "139.32", "0.00", "100k", "R0402"
"R158", "72.01", "133.10", "90.00", "100k", "R0402"
"R159", "70.87", "130.81", "90.00", "10k", "R0402"
"R16", "90.30", "102.87", "180.00", "5k", "R0402"
"R160", "73.03", "130.05", "0.00", "20k", "R0402"
"R161", "78.61", "141.61", "270.00", "100k", "R0402"
"R162", "79.25", "144.02", "270.00", "100k", "R0402"
"R163", "74.04", "158.75", "90.00", "100k", "R0402"
"R164", "75.44", "158.75", "270.00", "10k", "R0402"
"R165", "73.66", "147.96", "90.00", "100k", "R0402"
"R166", "85.73", "113.28", "270.00", "100k", "R0402"
"R17", "90.30", "101.47", "180.00", "5k", "R0402"
"R18", "96.39", "93.60", "90.00", "5k", "R0402"
"R19", "87.88", "88.90", "180.00", "10k", "R0402"
"R20", "97.79", "91.19", "270.00", "5k", "R0402"
"R21", "98.17", "87.63", "180.00", "10k", "R0402"
"R22", "106.05", "79.88", "90.00", "17k", "R0402"
"R31", "50.55", "54.61", "180.00", "5k", "R0402"
"R32", "47.75", "62.36", "180.00", "10k", "R0402"
"R33", "50.04", "58.29", "180.00", "5k", "R0402"
"R34", "47.75", "61.09", "180.00", "10k", "R0402"
"R35", "50.16", "62.36", "180.00", "5k", "R0402"
"R36", "50.04", "61.09", "0.00", "5k", "R0402"
"R37", "50.04", "57.15", "0.00", "5k", "R0402"
"R38", "50.04", "55.88", "0.00", "5k", "R0402"
"R39", "50.16", "63.63", "180.00", "5k", "R0402"
"R40", "50.04", "59.82", "180.00", "5k", "R0402"
"R41", "47.63", "57.28", "180.00", "10k", "R0402"
"R42", "47.50", "55.88", "180.00", "10k", "R0402"
"R43", "46.74", "59.18", "180.00", "5k", "R0402"
"R44", "46.10", "54.23", "270.00", "50k", "R0402"
"R45", "47.37", "54.10", "90.00", "1k", "R0402"
"R46", "33.02", "63.50", "0.00", "5k", "R0402"
"R47", "35.56", "55.88", "0.00", "10k", "R0402"
"R48", "33.02", "59.69", "0.00", "5k", "R0402"
"R49", "35.56", "57.15", "0.00", "10k", "R0402"
"R5", "102.74", "84.58", "180.00", "10k", "R0402"
"R50", "33.02", "55.88", "0.00", "5k", "R0402"
"R51", "33.02", "57.15", "180.00", "5k", "R0402"
"R52", "33.02", "60.96", "180.00", "5k", "R0402"
"R53", "33.02", "62.23", "180.00", "5k", "R0402"
"R54", "33.02", "54.61", "0.00", "5k", "R0402"
"R55", "33.02", "58.42", "0.00", "5k", "R0402"
"R56", "35.56", "60.96", "0.00", "10k", "R0402"
"R57", "35.56", "62.23", "0.00", "10k", "R0402"
"R58", "36.58", "59.05", "0.00", "5k", "R0402"
"R59", "37.34", "56.64", "270.00", "50k", "R0402"
"R6", "49.91", "101.85", "180.00", "1M", "R0402"
"R60", "37.34", "54.36", "270.00", "1k", "R0402"
"R63", "2.92", "129.41", "0.00", "100k", "R0402"
"R64", "2.03", "153.16", "0.00", "470k", "R0402"
"R65", "4.06", "125.98", "270.00", "1k", "R0402"
"R66", "1.02", "137.03", "90.00", "470k", "R0402"
"R67", "3.81", "154.56", "270.00", "100k", "R0402"
"R68", "27.05", "103.12", "180.00", "1M", "R0402"
"R69", "26.80", "101.60", "180.00", "5k", "R0402"
"R7", "49.66", "100.33", "180.00", "5k", "R0402"
"R70", "26.80", "100.20", "180.00", "5k", "R0402"
"R71", "32.89", "92.33", "90.00", "5k", "R0402"
"R72", "24.38", "87.63", "180.00", "10k", "R0402"
"R73", "34.29", "89.92", "270.00", "5k", "R0402"
"R74", "34.67", "86.36", "180.00", "10k", "R0402"
"R75", "5.08", "154.56", "90.00", "100k", "R0402"
"R76", "2.67", "154.94", "90.00", "10k", "R0402"
"R77", "8.51", "135.25", "270.00", "100k", "R0402"
"R78", "-1.40", "135.51", "0.00", "100k", "R0402"
"R79", "-6.73", "129.29", "90.00", "100k", "R0402"
"R8", "107.19", "81.53", "90.00", "10k", "R0402"
"R80", "-7.87", "127.00", "90.00", "10k", "R0402"
"R81", "-5.71", "126.24", "0.00", "20k", "R0402"
"R82", "-9.78", "100.58", "180.00", "1M", "R0402"
